+--------------------+----------------------------------------+-------------------------------------------------------------+--------------------------------------------------+------------------------------------------------------------------------------+--------------------------------------------------------------------------------------------------------------------------+
| Domain             | Method                                 | URI                                                         | Name                                             | Action                                                                       | Middleware                                                                                                               |
| api.localhost      | GET|HEAD                               | auth/tokens                                                 | api.auth.tokens                                  | App\Http\Controllers\Api\AuthController@tokens                               | api,localize,localizationRedirect,apiLang,apiAuth:driver,client,merchant                                                 |
| api.localhost      | PUT                                    | auth/verify-user/{user}                                     | api.auth.verify-user                             | App\Http\Controllers\Api\AuthController@verifyUser                           | api,localize,localizationRedirect,apiLang                                                                                |
| admin.localhost    | GET|HEAD                               | booking/excel                                               | admin.                                           | App\Http\Controllers\Admin\BookingsController@excelImport                    | web                                                                                                                      |
| merchant.localhost | GET|HEAD                               | bookings                                                    | admin2.bookings.index                            | App\Http\Controllers\TAdmin\BookingsController@index                         | web,auth,role:merchant,active,merchantCompany                                                                            |
| admin.localhost    | GET|HEAD                               | bookings                                                    | admin.bookings.index                             | App\Http\Controllers\Admin\BookingsController@index                          | web,auth,role:admin,active,checkPermission:bookings                                                                      |
| merchant.localhost | GET|HEAD                               | bookings-available                                          | admin2.bookings-available.index                  | App\Http\Controllers\TAdmin\BookingsAvailableController@index                | web,auth,role:merchant,active,merchantCompany                                                                            |
| merchant.localhost | POST                                   | bookings-available/driver/{truckBooking}                    | admin2.bookings-available.change-state           | App\Http\Controllers\TAdmin\BookingsAvailableController@changeState          | web,auth,role:merchant,active,merchantCompany                                                                            |
| merchant.localhost | GET|HEAD                               | bookings-available/show/{booking}                           | admin2.bookings-available.show                   | App\Http\Controllers\TAdmin\BookingsAvailableController@show                 | web,auth,role:merchant,active,merchantCompany                                                                            |
| merchant.localhost | POST                                   | bookings/addPrice/{truckBooking}                            | admin2.bookings.addPrice                         | App\Http\Controllers\TAdmin\BookingsController@additionalPrice               | web,auth,role:merchant,active,merchantCompany                                                                            |
| admin.localhost    | POST                                   | bookings/addPrice/{truckBooking}                            | admin.bookings.addPrice                          | App\Http\Controllers\Admin\BookingsController@additionalPrice                | web,auth,role:admin,active,checkPermission:bookings                                                                      |
